city,country,continent,latitude,longitude,date,pm25,pm10,no2,o3,so2,aqi
Delhi,IN,Asia,28.7041,77.1025,2023-01-01,162.94,289.91,81.47,50.98,23.49,213.2
Beijing,CN,Asia,39.9042,116.4074,2023-01-01,51.71,106.82,35.61,22.36,14.24,140.8
Tokyo,JP,Asia,35.6762,139.6503,2023-01-01,52.61,88.67,46.46,46.03,9.22,143.0
Seoul,KR,Asia,37.5665,126.978,2023-01-01,84.69,146.54,61.85,51.81,18.24,180.8
Mumbai,IN,Asia,19.076,72.8777,2023-01-01,95.48,178.97,61.39,41.39,15.2,192.1
Shanghai,CN,Asia,31.2304,121.4737,2023-01-01,72.83,141.74,58.51,32.55,19.77,168.3
Bangkok,TH,Asia,13.7563,100.5018,2023-01-01,56.89,114.58,47.29,45.62,10.08,151.6
Jakarta,ID,Asia,-6.2088,106.8456,2023-01-01,83.8,151.69,60.1,49.74,15.46,179.8
Hong Kong,HK,Asia,22.3193,114.1694,2023-01-01,21.86,49.04,40.18,36.91,5.67,71.1
Singapore,SG,Asia,1.3521,103.8198,2023-01-01,27.23,52.54,38.31,44.59,6.23,82.6
Kolkata,IN,Asia,22.5726,88.3639,2023-01-01,123.49,240.48,64.99,43.0,16.9,221.5
Dubai,AE,Asia,25.2048,55.2708,2023-01-01,42.24,144.62,41.27,55.12,12.35,117.1
Riyadh,SA,Asia,24.7136,46.6753,2023-01-01,61.06,189.09,43.53,56.82,12.21,155.9
Hanoi,VN,Asia,21.0285,105.8542,2023-01-01,122.45,199.93,70.98,56.39,25.79,220.4
Lahore,PK,Asia,31.5204,74.3587,2023-01-01,193.55,329.32,83.77,51.26,30.91,245.3
London,GB,Europe,51.5074,-0.1278,2023-01-01,26.03,48.14,44.21,44.23,5.99,80.0
Paris,FR,Europe,48.8566,2.3522,2023-01-01,36.75,65.52,46.97,45.22,7.35,103.4
Berlin,DE,Europe,52.52,13.405,2023-01-01,30.58,56.27,39.99,42.15,5.34,89.8
Madrid,ES,Europe,40.4168,-3.7038,2023-01-01,37.46,67.9,47.33,53.88,6.45,105.2
Rome,IT,Europe,41.9028,12.4964,2023-01-01,29.92,56.57,44.86,48.83,5.72,88.3
Moscow,RU,Europe,55.7558,37.6173,2023-01-01,37.8,76.86,45.55,39.69,7.56,106.0
Amsterdam,NL,Europe,52.3676,4.9041,2023-01-01,18.1,36.9,37.0,41.8,3.1,63.1
Warsaw,PL,Europe,52.2297,21.0122,2023-01-01,19.41,46.02,34.41,38.12,3.88,65.9
New York,US,North America,40.7128,-74.006,2023-01-01,39.53,69.7,40.57,48.94,8.43,110.3
Los Angeles,US,North America,34.0522,-118.2437,2023-01-01,47.09,86.88,42.39,65.48,6.82,129.2
Mexico City,MX,North America,19.4326,-99.1332,2023-01-01,62.35,116.27,50.02,52.25,16.37,157.3
Chicago,US,North America,41.8781,-87.6298,2023-01-01,53.96,93.94,49.08,54.49,12.09,146.4
Toronto,CA,North America,43.6532,-79.3832,2023-01-01,22.03,43.44,34.41,44.81,4.41,71.5
São Paulo,BR,South America,-23.5505,-46.6333,2023-01-01,54.84,92.89,40.6,49.98,10.12,148.6
Rio de Janeiro,BR,South America,-22.9068,-43.1729,2023-01-01,33.15,60.35,30.6,51.02,5.78,95.3
Buenos Aires,AR,South America,-34.6037,-58.3816,2023-01-01,16.39,35.64,22.65,43.23,2.77,59.4
Fortaleza,BR,South America,-3.7172,-38.5433,2023-01-01,39.73,68.1,33.47,59.78,7.44,110.8
Santiago,CL,South America,-33.4489,-70.6693,2023-01-01,5.0,10.0,18.09,29.9,1.0,20.9
Bogotá,CO,South America,4.711,-74.0721,2023-01-01,24.88,47.53,30.29,39.86,5.49,77.6
Cairo,EG,Africa,30.0444,31.2357,2023-01-01,75.99,145.85,35.87,48.57,14.35,171.6
Lagos,NG,Africa,6.5244,3.3792,2023-01-01,91.32,156.11,52.04,58.82,15.71,187.7
Johannesburg,ZA,Africa,-26.2041,28.0473,2023-01-01,34.76,69.14,33.53,46.78,12.05,98.7
