city,country,continent,latitude,longitude,population,date,pm25,pm10,no2,o3,so2,aqi
Delhi,IN,Asia,28.7041,77.1025,32.0,2023-01-01,171.14,302.21,85.57,53.44,25.13,221.8
Beijing,CN,Asia,39.9042,116.4074,21.5,2023-01-01,157.15,264.97,88.32,53.99,35.33,207.1
Tokyo,JP,Asia,35.6762,139.6503,14.0,2023-01-01,33.22,59.58,36.76,40.22,5.34,95.4
Seoul,KR,Asia,37.5665,126.978,9.8,2023-01-01,60.6,110.41,49.8,44.58,13.42,155.5
Mumbai,IN,Asia,19.076,72.8777,20.9,2023-01-01,91.31,172.71,59.3,40.14,14.36,187.7
Shanghai,CN,Asia,31.2304,121.4737,27.8,2023-01-01,74.84,144.76,59.52,33.15,20.17,170.4
Bangkok,TH,Asia,13.7563,100.5018,10.1,2023-01-01,107.09,189.89,72.4,60.68,20.12,204.3
Jakarta,ID,Asia,-6.2088,106.8456,10.9,2023-01-01,46.22,95.32,41.31,38.46,7.94,127.0
Hong Kong,HK,Asia,22.3193,114.1694,7.5,2023-01-01,8.4,28.86,33.45,32.87,2.98,35.0
Singapore,SG,Asia,1.3521,103.8198,5.9,2023-01-01,22.0,44.71,35.7,43.02,5.18,71.4
Kolkata,IN,Asia,22.5726,88.3639,14.7,2023-01-01,105.05,212.83,55.78,37.47,13.21,202.1
Dubai,AE,Asia,25.2048,55.2708,3.6,2023-01-01,61.41,173.36,50.85,60.87,16.18,156.3
Riyadh,SA,Asia,24.7136,46.6753,7.0,2023-01-01,42.4,161.1,34.2,51.22,8.48,117.5
Hanoi,VN,Asia,21.0285,105.8542,8.4,2023-01-01,67.94,118.15,43.72,40.03,14.89,163.2
Lahore,PK,Asia,31.5204,74.3587,11.2,2023-01-01,173.38,299.06,73.69,45.21,26.88,224.1
London,GB,Europe,51.5074,-0.1278,9.0,2023-01-01,39.28,68.02,50.84,48.2,8.64,109.7
Paris,FR,Europe,48.8566,2.3522,2.2,2023-01-01,22.25,43.78,39.73,40.88,4.45,71.9
Berlin,DE,Europe,52.52,13.405,3.6,2023-01-01,16.43,35.05,32.92,37.91,2.51,59.5
Madrid,ES,Europe,40.4168,-3.7038,3.3,2023-01-01,12.99,31.18,35.09,46.54,1.56,52.1
Rome,IT,Europe,41.9028,12.4964,2.8,2023-01-01,28.35,54.22,44.07,48.36,5.41,85.0
